ok,timestamp,error_msg,modo,centro_x,centro_y,amplitud_um,wtr,rtr,wgc,n_pre,n_post,n_total,speedupdown,dco,vco,svo,confirmar_lazo_abierto,drc_tablas,drc_fuentes,drc_opciones,tabla,wavegen,eje,leer_recorder_completo,t_extra_grabacion_s,carga_rapida,wos,etiqueta,repeticion,t_asentamiento_s,guardar_figura,notas,t_servo_us,dt_grabacion_us,duracion_wave_ms,ventana_grabada_ms,n_puntos_wave,n_muestras_pedidas,duracion_host_ms,muestras_leidas,ventana_real_ms,ventana_post_wave_ms,error_max_nm,error_rms_nm,frac_usable,dx_por_punto_nm,recorrido_usable_um,t_acel_ms,t_constante_ms,t_usable_ms,t_3tau_necesario_ms,hay_zona_usable,v_um_s,error_mediano_nm,tau_desde_lag_ms,residuo_recta_usable_nm,residuo_recta_usable_max_nm,residuo_en_pixeles,error_max_giro_nm,exceso_giro_nm,error_rms_total_nm,error_rms_lag_corregido_nm,archivo
True,20260907_172959,,rampa,100.0,100.0,1.0,40,4,1,50,2000,400,20,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,scan_w40_sud20,0,0.5,False,zona usable vs speedupdown y velocidad,39.999984,159.999936,639.9997440000001,1310.719475712,400,8192,663.8538837432861,8192,1310.559475776,670.5597317759999,115.2,77.65225694067301,0.171142578125,11.200004479940981,1.565100000000001,103.03995878400355,260.639895744009,224.159910336,36.31998547200125,True,6.988168324693939,-77.89999999999964,11.147413224825465,3.8196292728673815,28.90860590458999,0.34103819152110815,115.30000000000484,37.40000000000521,60.6089892779844,50.37669840256844,E517_rampa_scan_w40_sud20_20260907_172959_r0
True,20260907_173004,,rampa,100.0,100.0,1.0,40,4,1,50,2000,400,20,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,scan_w40_sud20,1,0.5,False,zona usable vs speedupdown y velocidad,39.999984,159.999936,639.9997440000001,1310.719475712,400,8192,662.9729270935059,8192,1310.559475776,670.5597317759999,113.4,77.29963497071138,0.171142578125,11.200004479940981,1.565100000000001,103.03995878400355,260.639895744009,224.159910336,36.31998547200125,True,6.988168324693939,-77.50000000000057,11.090173619049859,3.546523289225492,26.668941764938836,0.31665373844959216,113.50000000000193,36.000000000001364,60.33573044765712,50.247365179873505,E517_rampa_scan_w40_sud20_20260907_173004_r1
True,20260907_173009,,rampa,100.0,100.0,1.0,40,4,1,50,2000,400,40,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,scan_w40_sud40,0,0.5,False,zona usable vs speedupdown y velocidad,39.999984,159.999936,639.9997440000001,1310.719475712,400,8192,662.7490520477295,8192,1310.559475776,670.5597317759999,124.7,89.41207990251596,0.1201171875,12.600005040038377,1.2353999999999985,224.79991008000775,195.51992179200673,157.279937088,36.31998547200125,True,7.878247094168744,-89.3999999999977,11.347701961032557,2.147020601456009,10.951631025392317,0.17039839227314066,124.79999999999336,35.39999999999566,63.16250126587857,60.6848742572879,E517_rampa_scan_w40_sud40_20260907_173009_r0
True,20260907_173014,,rampa,100.0,100.0,1.0,40,4,1,50,2000,400,40,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,scan_w40_sud40,1,0.5,False,zona usable vs speedupdown y velocidad,39.999984,159.999936,639.9997440000001,1310.719475712,400,8192,661.8168354034424,8192,1310.559475776,670.5597317759999,125.6,88.6408363659157,0.1201171875,12.600005040038377,1.2353999999999985,224.79991008000775,195.51992179200673,157.279937088,36.31998547200125,True,7.878247094168744,-88.50000000001046,11.233463350688208,1.8503531117222425,8.266148047752608,0.14685336282346492,125.70000000000903,37.19999999999857,62.95432229447518,59.764470403478946,E517_rampa_scan_w40_sud40_20260907_173014_r1
True,20260907_173019,,rampa,100.0,100.0,1.0,40,4,1,50,2000,400,80,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,scan_w40_sud80,0,0.5,False,zona usable vs speedupdown y velocidad,39.999984,159.999936,639.9997440000001,1310.719475712,400,8192,663.8550758361816,8192,1310.559475776,670.5597317759999,161.8,124.6102292301545,0.019775390625,17.100006840005516,0.2734999999999985,464.639814144016,62.23997510400214,25.75998969600002,36.31998547200125,True,10.687046987889653,-124.4000000000085,11.640259478691924,1.6247972336252279,3.0205351773560096,0.09501734407637838,161.90000000000282,37.499999999994316,68.71806348956488,92.60154515866788,E517_rampa_scan_w40_sud80_20260907_173019_r0
True,20260907_173025,,rampa,100.0,100.0,1.0,40,4,1,50,2000,400,80,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,scan_w40_sud80,1,0.5,False,zona usable vs speedupdown y velocidad,39.999984,159.999936,639.9997440000001,1310.719475712,400,8192,659.7678661346436,8192,1310.559475776,670.5597317759999,164.0,124.32555633846542,0.019775390625,17.100006840005516,0.2734999999999985,464.639814144016,62.23997510400214,25.75998969600002,36.31998547200125,True,10.687046987889653,-124.30000000000518,11.630902356924176,1.8358116495955612,4.426916859117114,0.10735736346611713,164.00000000000148,39.699999999996294,68.6597044373754,92.6280782491343,E517_rampa_scan_w40_sud80_20260907_173025_r1
True,20260907_173029,,rampa,100.0,100.0,1.0,10,1,1,50,2000,800,80,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,scan_n800_sud80,0,0.5,False,regla t_recta >= 3tau: alargar la tabla en vez de bajar sud,39.999984,39.999984,319.99987200000004,327.679868928,800,8192,332.9639434814453,8192,327.639868944,7.639996943999961,227.0,186.43742501977218,0.1954345703125,6.300002519972623,1.0039000000000016,105.83995766400363,100.71995971200346,63.99997440000001,36.31998547200125,True,15.689957385440954,-189.09999999999627,12.052295322068,10.03164655780064,49.16600052823128,1.59232421352178,220.90000000000032,31.800000000004047,172.57804367075946,78.16066273528195,E517_rampa_scan_n800_sud80_20260907_173029_r0
True,20260907_173034,,rampa,100.0,100.0,1.0,10,1,1,50,2000,800,80,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,scan_n800_sud80,1,0.5,False,regla t_recta >= 3tau: alargar la tabla en vez de bajar sud,39.999984,39.999984,319.99987200000004,327.679868928,800,8192,336.9321823120117,8192,327.639868944,7.639996943999961,225.0,186.21301961830096,0.1954345703125,6.300002519972623,1.0039000000000016,105.83995766400363,100.71995971200346,63.99997440000001,36.31998547200125,True,15.689957385440954,-189.3000000000029,12.065042329283726,9.961676187646919,49.79608015788983,1.5812178100033851,221.20000000001028,31.900000000007367,172.72142368268788,78.698361704739,E517_rampa_scan_n800_sud80_20260907_173034_r1
True,20260907_173040,,rampa,100.0,100.0,1.0,10,1,1,50,2000,1600,80,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,scan_n1600_sud80,0,0.5,False,regla t_recta >= 3tau: alargar la tabla en vez de bajar sud,39.999984,39.999984,639.9997440000001,327.679868928,1600,8192,667.9301261901855,8192,327.639868944,-312.3598750560001,83.4,75.90762766368572,0.0,2.800001120008528,0.0,100.03995998400345,218.39991264000753,0.0,36.31998547200125,False,6.955295980850784,-76.09999999999673,10.941302887686463,3.5532046805811492,25.96468075427083,1.2690011640317942,79.20000000000016,3.1000000000034333,69.98893722745429,26.499259529563542,E517_rampa_scan_n1600_sud80_20260907_173040_r0
True,20260907_173045,,rampa,100.0,100.0,1.0,10,1,1,50,2000,1600,80,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,scan_n1600_sud80,1,0.5,False,regla t_recta >= 3tau: alargar la tabla en vez de bajar sud,39.999984,39.999984,639.9997440000001,327.679868928,1600,8192,661.8692874908447,8192,327.639868944,-312.3598750560001,83.6,76.5255591217575,0.0,2.800001120008528,0.0,100.03995998400345,218.39991264000753,0.0,36.31998547200125,False,6.955295980850784,-76.70000000000243,11.027568087853012,3.51420356400036,23.21865050689098,1.2550721993959977,79.39999999999259,2.6999999999901547,70.45061882185871,26.995080570356677,E517_rampa_scan_n1600_sud80_20260907_173045_r1
