t_ms,current_um_A,current_um_B,target_um
11.119995552,99.4677,99.6851,99.5
11.159995536,99.4677,99.6837,99.5
11.19999552,99.4677,99.6823,99.5
11.239995504000001,99.4678,99.681,99.5
11.279995487999999,99.4678,99.6796,99.5
11.319995471999999,99.4678,99.6783,99.5
11.359995456,99.4678,99.677,99.5
11.39999544,99.4678,99.6756,99.5
11.439995424,99.4679,99.6744,99.5
11.479995408,99.4678,99.6731,99.5
11.519995392,99.4678,99.6718,99.5
11.559995376,99.4678,99.6706,99.5
11.599995360000001,99.4678,99.6692,99.5
11.639995344,99.4678,99.668,99.5
11.679995327999999,99.4677,99.6667,99.5
11.719995312,99.4678,99.6654,99.5
11.759995296,99.4678,99.6642,99.5
11.79999528,99.4677,99.6629,99.5
11.839995263999999,99.4677,99.6616,99.5
11.879995248,99.4677,99.6603,99.5
11.919995232,99.4677,99.6591,99.5
11.959995216,99.4678,99.6579,99.5
11.9999952,99.4678,99.6567,99.5
12.039995184,99.4679,99.6554,99.5
12.079995168,99.4679,99.6542,99.5
12.119995152,99.4679,99.653,99.5
12.159995136,99.4679,99.6518,99.5
12.199995119999999,99.4679,99.6506,99.5
12.239995104,99.468,99.6494,99.5
12.279995088,99.468,99.6483,99.5
12.319995072,99.468,99.647,99.5
12.359995056,99.468,99.6459,99.5
12.39999504,99.468,99.6448,99.5
12.439995024,99.4681,99.6436,99.5
12.479995008000001,99.4681,99.6425,99.5
12.519994991999999,99.4681,99.6413,99.5
12.559994975999999,99.4681,99.6402,99.5
12.59999496,99.4681,99.6391,99.5
12.639994944,99.4681,99.638,99.5
12.679994928,99.4681,99.6369,99.5
12.719994912,99.4681,99.6358,99.5
12.759994896,99.4681,99.6347,99.5
12.79999488,99.4681,99.6337,99.5
12.839994864000001,99.4681,99.6326,99.5
12.879994848,99.4681,99.6315,99.5
12.919994831999999,99.4681,99.6305,99.5
12.959994816,99.4682,99.6294,99.5
12.9999948,99.4681,99.6284,99.5
13.039994784,99.4682,99.6274,99.5
13.079994767999999,99.4682,99.6264,99.5
13.119994752,99.4682,99.6254,99.5
13.159994736,99.4682,99.6244,99.5
13.19999472,99.4682,99.6234,99.5
13.239994704,99.4682,99.6224,99.5
13.279994688,99.4681,99.6214,99.5
13.319994671999998,99.4682,99.6204,99.5
13.359994656,99.4682,99.6194,99.5
13.39999464,99.4682,99.6185,99.5
13.439994623999999,99.4682,99.6175,99.5
13.479994608,99.4682,99.6166,99.5
13.519994592,99.4682,99.6157,99.5
13.559994576,99.4682,99.6148,99.5
13.59999456,99.4682,99.6139,99.5
13.639994544,99.4682,99.613,99.5
13.679994528,99.4682,99.6121,99.5
13.719994512000001,99.4683,99.6112,99.5
13.759994496,99.4683,99.6103,99.5
13.799994479999999,99.4683,99.6094,99.5
13.839994464,99.4683,99.6085,99.5
13.879994448,99.4683,99.6076,99.5
13.919994432,99.4683,99.6068,99.5
13.959994416,99.4683,99.6059,99.5
13.9999944,99.4683,99.6051,99.5
14.039994384,99.4684,99.6042,99.5
14.079994368000001,99.4685,99.6033,99.5
14.119994352,99.4685,99.6025,99.5
14.159994335999999,99.4685,99.6017,99.5
14.19999432,99.4685,99.6009,99.5
14.239994304,99.4685,99.6001,99.5
14.279994288,99.4686,99.5993,99.5
14.319994271999999,99.4686,99.5985,99.5
14.359994256,99.4687,99.5978,99.5
14.39999424,99.4687,99.597,99.5
14.439994224,99.4687,99.5963,99.5
14.479994208,99.4687,99.5955,99.5
14.519994192,99.4687,99.5947,99.5
14.559994175999998,99.4688,99.594,99.5
14.59999416,99.4688,99.5932,99.5
14.639994144,99.4687,99.5925,99.5
14.679994127999999,99.4688,99.5918,99.5
14.719994112,99.4688,99.591,99.5
14.759994096,99.4688,99.5903,99.5
14.79999408,99.4689,99.5896,99.5
14.839994064,99.4689,99.5889,99.5
14.879994048,99.469,99.5882,99.5
14.919994032,99.469,99.5875,99.5
14.959994016,99.4691,99.5869,99.5
14.999994,99.4691,99.5863,99.5
15.039993983999999,99.4691,99.5857,99.5
15.079993968,99.4692,99.5851,99.5
15.119993952,99.4692,99.5844,99.5
15.159993936,99.4693,99.5838,99.5
15.19999392,99.4693,99.5832,99.5
15.239993904,99.4693,99.5826,99.5
15.279993888,99.4693,99.582,99.5
15.319993872000001,99.4694,99.5814,99.5
15.359993856,99.4694,99.5808,99.5
15.399993839999999,99.4695,99.5803,99.5
15.439993824,99.4694,99.5797,99.5
15.479993808,99.4695,99.5791,99.5
